COMID,StrLen,d50,StrDepth,Q,StrVel,StrXArea,Date
9731478,2393.0,0.0005590676,0.33,0.02,0.013986013986013988,1.43,07/01/2014
9731478,2393.0,0.0005590676,0.33,0.02,0.013986013986013988,1.43,07/02/2014
9731478,2393.0,0.0005590676,0.33,0.064,0.044755244755244755,1.43,07/03/2014
9731478,2393.0,0.0005590676,0.33,0.108,0.07552447552447553,1.43,07/04/2014
9731478,2393.0,0.0005590676,0.33,0.021,0.014685314685314687,1.43,07/05/2014
9731478,2393.0,0.0005590676,0.33,0.021,0.014685314685314687,1.43,07/06/2014
9731478,2393.0,0.0005590676,0.33,0.022,0.015384615384615384,1.43,07/07/2014
9731478,2393.0,0.0005590676,0.33,0.022,0.015384615384615384,1.43,07/08/2014
9731478,2393.0,0.0005590676,0.33,0.042,0.029370629370629373,1.43,07/09/2014
9731478,2393.0,0.0005590676,0.33,0.023,0.016083916083916086,1.43,07/10/2014
9731478,2393.0,0.0005590676,0.33,0.023,0.016083916083916086,1.43,07/11/2014
9731478,2393.0,0.0005590676,0.33,0.024,0.016783216783216783,1.43,07/12/2014
9731478,2393.0,0.0005590676,0.33,0.024,0.016783216783216783,1.43,07/13/2014
9731478,2393.0,0.0005590676,0.33,0.023,0.016083916083916086,1.43,07/14/2014
9731478,2393.0,0.0005590676,0.33,0.029,0.020279720279720283,1.43,07/15/2014
9731478,2393.0,0.0005590676,0.33,0.063,0.04405594405594406,1.43,07/16/2014
9731478,2393.0,0.0005590676,0.33,0.023,0.016083916083916086,1.43,07/17/2014
9731478,2393.0,0.0005590676,0.33,0.023,0.016083916083916086,1.43,07/18/2014
9731478,2393.0,0.0005590676,0.33,0.023,0.016083916083916086,1.43,07/19/2014
9731478,2393.0,0.0005590676,0.33,0.022,0.015384615384615384,1.43,07/20/2014
9731478,2393.0,0.0005590676,0.33,0.092,0.06433566433566434,1.43,07/21/2014
9731478,2393.0,0.0005590676,0.33,0.039,0.027272727272727275,1.43,07/22/2014
9731478,2393.0,0.0005590676,0.33,0.022,0.015384615384615384,1.43,07/23/2014
9731478,2393.0,0.0005590676,0.33,0.024,0.016783216783216783,1.43,07/24/2014
9731478,2393.0,0.0005590676,0.33,0.025,0.017482517482517484,1.43,07/25/2014
9731478,2393.0,0.0005590676,0.33,0.023,0.016083916083916086,1.43,07/26/2014
9731478,2393.0,0.0005590676,0.33,0.025,0.017482517482517484,1.43,07/27/2014
9731478,2393.0,0.0005590676,0.33,0.024,0.016783216783216783,1.43,07/28/2014
9731478,2393.0,0.0005590676,0.33,0.024,0.016783216783216783,1.43,07/29/2014
9731478,2393.0,0.0005590676,0.33,0.025,0.017482517482517484,1.43,07/30/2014
9731478,2393.0,0.0005590676,0.33,0.025,0.017482517482517484,1.43,07/31/2014
