COMID,StrLen,d50,StrDepth,Q,StrVel,StrXArea,Date
9731486,12140.0,0.00027932185,0.76,0.242,0.021453900709219858,11.28,07/01/2014
9731486,12140.0,0.00027932185,0.76,0.252,0.022340425531914895,11.28,07/02/2014
9731486,12140.0,0.00027932185,0.76,0.959,0.0850177304964539,11.28,07/03/2014
9731486,12140.0,0.00027932185,0.76,2.236,0.19822695035460997,11.28,07/04/2014
9731486,12140.0,0.00027932185,0.76,0.255,0.022606382978723406,11.28,07/05/2014
9731486,12140.0,0.00027932185,0.76,0.262,0.02322695035460993,11.28,07/06/2014
9731486,12140.0,0.00027932185,0.76,0.269,0.023847517730496457,11.28,07/07/2014
9731486,12140.0,0.00027932185,0.76,0.276,0.024468085106382983,11.28,07/08/2014
9731486,12140.0,0.00027932185,0.76,0.552,0.048936170212765966,11.28,07/09/2014
9731486,12140.0,0.00027932185,0.76,0.284,0.025177304964539005,11.28,07/10/2014
9731486,12140.0,0.00027932185,0.76,0.287,0.025443262411347516,11.28,07/11/2014
9731486,12140.0,0.00027932185,0.76,0.288,0.02553191489361702,11.28,07/12/2014
9731486,12140.0,0.00027932185,0.76,0.288,0.02553191489361702,11.28,07/13/2014
9731486,12140.0,0.00027932185,0.76,0.286,0.025354609929078013,11.28,07/14/2014
9731486,12140.0,0.00027932185,0.76,0.35,0.03102836879432624,11.28,07/15/2014
9731486,12140.0,0.00027932185,0.76,1.183,0.1048758865248227,11.28,07/16/2014
9731486,12140.0,0.00027932185,0.76,0.28,0.024822695035460998,11.28,07/17/2014
9731486,12140.0,0.00027932185,0.76,0.277,0.024556737588652486,11.28,07/18/2014
9731486,12140.0,0.00027932185,0.76,0.28,0.024822695035460998,11.28,07/19/2014
9731486,12140.0,0.00027932185,0.76,0.272,0.024113475177304968,11.28,07/20/2014
9731486,12140.0,0.00027932185,0.76,1.681,0.14902482269503547,11.28,07/21/2014
9731486,12140.0,0.00027932185,0.76,0.477,0.04228723404255319,11.28,07/22/2014
9731486,12140.0,0.00027932185,0.76,0.266,0.023581560283687946,11.28,07/23/2014
9731486,12140.0,0.00027932185,0.76,0.319,0.028280141843971634,11.28,07/24/2014
9731486,12140.0,0.00027932185,0.76,0.315,0.02792553191489362,11.28,07/25/2014
9731486,12140.0,0.00027932185,0.76,0.28,0.024822695035460998,11.28,07/26/2014
9731486,12140.0,0.00027932185,0.76,0.309,0.027393617021276597,11.28,07/27/2014
9731486,12140.0,0.00027932185,0.76,0.302,0.02677304964539007,11.28,07/28/2014
9731486,12140.0,0.00027932185,0.76,0.297,0.026329787234042553,11.28,07/29/2014
9731486,12140.0,0.00027932185,0.76,0.3,0.026595744680851064,11.28,07/30/2014
9731486,12140.0,0.00027932185,0.76,0.301,0.026684397163120568,11.28,07/31/2014
